PlotKey,TreeKey,SpeciesCode,DBH,TotalHeight,Age_BH
100,551dd9d4-a0d4-4ac5-a374-5ed6a4278ad2,20,13.3,11.4,0.0
100,96c971c7-6abb-421b-aa62-1a7d4afa0f97,20,7.7,9.8,0.0
100,455787bd-5acf-436a-a3bb-1073c2dc8749,20,7.3,9.5,0.0
100,23e09d76-7d1a-4f67-843d-b56d30d77e3c,20,10.6,10.4,0.0
100,7e38db92-33c7-45cf-98d5-b765d3398e3b,20,9.8,9.3,0.0
100,251fe55b-5df0-497d-8a24-724dc9e8c019,20,15.2,12.8,0.0
100,d26b9eff-6ef7-4302-b9c3-caf99b38df8f,20,17.0,12.2,0.0
100,d9d8de80-7d22-4da3-b0c1-caaa3f9d7a09,38,11.9,7.4,0.0
100,d54821eb-eae7-4be2-a2dd-d41407745176,38,15.6,6.9,21.0
100,60539ff2-e85f-476d-999a-ecfa7c396264,38,8.0,9.5,0.0
100,f985d6e1-3824-4bf1-a71c-6390193495b0,38,9.9,9.9,0.0
100,3582c6a2-4833-4f36-95b8-c2c3ba95d80c,38,7.6,6.5,0.0
100,60b64c5c-71cd-4240-a788-8b3866f365b2,38,9.5,12.7,0.0
100,23ce304e-e0c2-4235-acb7-d0d61c543c9b,20,14.3,11.6,0.0
100,d6ef0083-6be9-4a9b-9a57-aafb6e03cba9,20,17.4,9.5,0.0
100,37d20791-b490-405e-992a-9643913fad52,20,10.5,9.9,0.0
100,cb1f1d30-bf2b-4034-b131-22b755a62611,20,15.3,9.5,0.0
100,29b2d157-8b5f-4d5d-a758-644b5662ec25,20,9.5,8.8,0.0
100,34c9b731-b451-4933-bcb0-5232de20ccca,20,13.0,10.4,0.0
100,591edb75-3e11-4ddf-a553-2b905c6099f5,20,7.7,8.8,0.0
100,ddd95aee-cd86-4816-b259-d14598bad014,20,16.3,12.0,0.0
100,ff6fe32f-117f-4dad-83d4-24ef79d9f698,20,8.0,7.7,0.0
100,c32d1747-5c4d-44ff-ae8c-af3c3dc689fd,20,11.2,10.0,0.0
100,25bf727d-fa64-4f95-9ba8-11decc68d19e,20,15.0,12.0,0.0
100,f303811e-4c66-4208-8efa-b63fab606c06,20,8.5,10.5,0.0
100,3a704c10-c6a6-452c-9f52-69d17e1e7514,20,10.8,9.9,0.0
100,4e038d35-bd05-4690-84d8-f283019d1c17,20,9.4,9.7,0.0
100,6b92e112-a3b2-4d99-a98b-2c8ad80f7a3b,20,7.4,10.0,0.0
100,43c28da7-4915-40ef-ae28-3371bf7f4f9f,20,10.1,11.0,0.0
101,c1d264ad-6e6d-405a-b0ca-c0f74a9783bd,12,24.3,21.4,0.0
101,8f62f8b3-27c5-4d0a-93b8-c3318b065371,20,13.0,16.2,0.0
101,51a1194d-5d9f-4c9d-bddd-3147be79ca45,12,18.5,18.3,0.0
101,57c1c2ed-5b4f-46ee-8f0a-75f044d6fe53,12,20.9,21.9,0.0
101,36f953d0-a80d-4b3a-9fd1-bb2ba8c2654a,38,8.5,15.2,0.0
101,9a2ea005-e3af-48d0-a528-433e86509992,12,15.7,16.7,0.0
101,812f1f94-09da-4189-a1e0-d6eb9df2fcc4,20,8.2,10.4,0.0
101,73480cb8-35be-4622-854d-ace5e9ca0a0e,12,22.0,17.3,0.0
101,dd62a4bf-febc-4f0d-922d-a1ff3cc28f7c,20,15.2,17.9,0.0
101,aa5f2c3d-509d-45d3-a808-4310dacc7ed4,12,19.7,17.2,0.0
101,4255f735-dff8-479d-909b-552c9893926f,20,15.0,14.7,0.0
101,69707162-df83-4b0b-aac8-c79a69b5c1c6,20,9.0,10.3,0.0
101,07e7f618-533b-4874-b0d8-d7f7d4716b63,12,24.2,20.0,0.0
101,d6d220cf-81f4-497f-93e8-c4a95e0fe7c4,12,30.8,17.5,38.0
101,15e0bcc7-2dc6-42ce-a848-b105199dbce6,20,19.2,18.2,0.0
101,cb16c467-cfdf-4e81-81e6-835d0810f28b,12,11.5,11.8,0.0
101,3a546ec4-3544-4cdc-900d-e48a81373609,20,9.5,15.7,0.0
101,dba553bf-a9a3-45ff-a73f-eb20e4427209,3,21.2,18.2,0.0
101,e70fe08c-ec34-45b5-937a-649d14455ea3,20,8.3,11.2,0.0
101,78916fc7-6885-41b5-85bc-29942c327d43,3,21.7,18.7,0.0
101,10b91880-0bd5-45c4-be7f-d75bf70dc817,3,22.7,19.4,0.0
101,fde7c328-a885-401d-94ae-cb55e2b7b0b0,3,25.7,18.6,0.0
101,daedffaf-b40c-4c82-90e8-69d144278846,3,21.0,20.6,0.0
101,b30aadd7-a562-4633-9c43-5b5908197eb3,12,14.0,14.7,0.0
101,8bd3dc20-0c46-44e8-80b0-870f4ebee6f4,38,9.8,12.6,0.0
101,9d5d62c2-005d-4e30-a625-6cc2cbe8795e,12,15.5,18.3,0.0
101,1ef6dd41-1a82-47df-9b54-d49fe4cc30aa,12,15.3,16.8,0.0
101,a0a13a24-1a2f-4e4f-af5f-a97bb68305d7,12,18.3,18.1,0.0
101,286ac1e3-0b2e-4afe-8f04-ee48c9d5cefa,38,7.7,14.7,0.0
101,88eea90d-9422-4191-985f-55793b74a982,12,30.5,19.5,37.0
101,9046501c-6cc0-42c4-a822-bf8d3b3ede8f,38,11.6,13.2,0.0
101,d6705828-7f8e-4f84-9ab5-d4a7027f3fd2,20,22.3,17.9,0.0
101,8e073a5b-241e-434d-b3bb-fd443d2fc305,12,14.4,13.9,0.0
101,016aadce-dbb0-403a-907f-0f78b0e9ad8e,20,7.9,9.9,0.0
101,a6335495-6a84-436b-8a63-d54c6249994a,20,16.6,16.1,0.0
101,6ba59dcc-db1e-433b-b8bb-a6a05d445958,12,16.2,15.6,0.0
101,c7092372-f920-4b53-bcaf-c7bd93e22f38,12,22.3,18.0,0.0
101,b892bd99-1413-40fa-8fed-2d3a2593ae1d,12,17.0,17.0,0.0
101,e54bc18c-5f04-44e4-9a04-6d4da7e6ecda,38,11.9,16.6,0.0
101,97ce7922-b2d5-4403-bb05-701f2216fea9,38,9.6,13.3,0.0
101,6e0bff0b-c08a-4f85-9f41-e8c7e4db3f0e,12,11.9,15.5,0.0
101,d648fa07-c35b-461c-b24f-2b628845244e,20,8.3,13.4,0.0
101,ce70a48d-91d9-4f66-8981-a281438197ae,38,11.0,15.6,0.0
101,ef54963c-9668-4783-bf69-254823275e73,12,19.6,17.7,0.0
101,2c9334c2-58db-4c3b-b2c3-152d8bbaf664,20,19.5,17.3,0.0
101,0233a1c2-dd01-4a09-af45-df054fcf1d9f,74,8.2,13.0,0.0
101,e9d20389-6118-4c06-a30e-fad442a83316,20,21.6,16.7,0.0
101,2e7597de-f518-447e-b53b-8b36415830fe,20,9.3,14.5,0.0
101,caae3532-261c-4d10-a4b5-8e54d3a684b7,20,14.8,16.4,0.0
101,44224f95-bae2-4b91-93fa-aff4be7505d0,12,24.6,18.7,0.0
101,8dfc3882-8ac0-406d-97d0-7e333f05d2e9,20,11.4,11.2,0.0
101,04e76a40-81c5-4634-ad05-43ed719464a3,12,10.2,12.8,0.0
101,f4560d52-6992-431b-bba1-39c247ed6f23,12,19.0,18.2,0.0
101,c76a2e8a-1f94-4958-977f-253a8680693c,20,13.3,12.8,0.0
101,59fab9b2-7f60-4378-89ec-1ff933593c3d,20,9.8,13.9,0.0
101,8c9786ce-341e-4531-8f83-c2e6a1d45811,12,22.8,19.8,0.0
101,5706523f-0426-4963-9ec5-60e41eed60fb,12,20.6,17.7,0.0
101,fee7fa8f-af1a-43b0-8bab-7787e3b82bbb,12,16.8,16.1,0.0
101,e8bdd078-aa0e-4e52-b91b-b797d5cddd42,38,11.4,15.4,0.0
101,1fb41b6c-e13e-40d8-8237-773d6c411d9f,20,9.1,14.1,0.0
101,03109651-8a46-431c-a2f3-9171c9eef504,12,12.6,17.4,0.0
101,3adb61e0-51d2-47c7-9ed9-9d28df521761,12,12.4,12.8,0.0
101,9e3c37e6-a359-4701-99c8-dda56d5552e0,20,22.7,18.3,0.0
101,4e3052bb-0dc1-4e23-bf15-4a49d37ce944,20,14.6,16.1,0.0
