"VSNPLOTNAME","PlotKey","ecosite","Compile_limit","Stems","Planted_BasalArea","CD_BHAge","BasalArea","CDHt","plot_DHt","LoreyHeight","plot_QMDHt","MaxHt1","MaxHt12","TopHt","BasalArea_DomCodom","BasalArea_Intermediate","BasalArea_Understory","Height_Intermediate","Height_Understory","conifer_frac","intHwd_frac","tolHwd_frac","LeadSpp_CDHt","LeadSpp_CDAge","QMD","GTV","GMV_NL","GMV_size1","GMV_size2","GMV_size3","GMV_size4","GMV_size5","GMV_WL","BA_size1","BA_size2","BA_size3","BA_size4","BA_size5","GTV_DomCodom","GTV_Intermediate","GTV_Understory","BiomassWood","BiomassBark","BiomassBranches","BiomassFoliage","LeadSpp","SpeciesComposition","BasalArea_Dead","REG_FU","TagLimit"
"VSN060171",171,"B012TtVSn",7.1,450,NA,4.22222222222222,3.187015755,6.63888888888889,6.63888888888889,6.90629401218633,7.41666666666667,8,8,7.9,3.187015755,NA,NA,NA,NA,1,0,0,6.73636363636364,2.63636363636364,9.49599330712111,10.0022846983801,3.0338256281401,3.0338256281401,0,0,0,0,2.37450709064843,1.74637617,0,0,0,0,10.0022846983801,NA,NA,4.5117859858172,0.787927646405841,1.42123839447563,1.31447093853325,3,"Pj 63 Sb 26 Bf 11                  ",NA,"PJ2",7.1
"VSN060172",172,"B104TtD k",7.1,700,NA,29.6666666666667,30.9111854152226,25.7428571428571,25.7428571428571,22.2968228277406,24.8375,27.3,27.2,26.15,18.5591289393741,8.66334146406272,3.68871501178575,17.6888888888889,11.05,0.417981037197426,0.582018962802574,0,26.4,35.6,23.7117365788481,310.790324019451,288.209844673068,9.00252333483863,56.1820454109594,142.865494959505,80.1597809677653,0,279.620097336282,2.443516845,8.016047655,13.45606185,6.60215094,0,220.828246144445,68.1744838397047,21.7875940353014,122.025493342564,21.7198677289568,16.9111200270899,5.61544988319426,74,"Pt 58 Sb 31 Pj  7 Bf  4            ",10.86278886,"MH2",7.1
"VSN060174",174,"B040TtD k",7.1,275,NA,0,12.3168466499386,25.675,25.675,22.2270238438644,23.6,27.5,26.55,23.6,7.209559665,4.51281772493864,0.59446926,14.0833333333333,13,0.0482647285377188,0.951735271462281,0,25.675,0,23.8802006609478,121.197065859894,107.367013055584,0.429310396750791,48.6605997594179,25.2255582680236,33.0515446313922,0,102.802361018708,0.640591875,6.66773184,2.310038115,2.702581035,0,86.872717838229,30.875129158213,3.44921886345189,49.5891119968652,9.50309949091625,8.32098710851084,1.91802370928649,74,"Pt 66 Bw 30 Sb  5                  ",7.230137145,"PO1",7.1
"VSN060175",175,"B040TtD n",7.1,725,NA,6.40909090909091,35.8881817788977,27.5545454545455,27.5545454545455,26.779507907914,28.1714285714286,34.7,32.9,34.7,33.446482162203,NA,2.44169961669473,NA,12.3714285714286,0.0150382775037121,0.984961722496288,0,27.5545454545455,6.40909090909091,25.105060728109,445.679692672239,404.583800162396,4.48504433301855,96.5171987428276,303.58155708655,0,0,390.047409277772,1.819123845,9.18478176,24.76829586,0,0,431.11349247928,NA,14.5662001929582,172.75630392835,33.036241005635,18.0516778225269,3.87318152636136,74,"Pt 93 Bw  5 Sb  1 Sw  0            ",2.521703415,"PO1",7.1
"VSN060176",176,"B130TtD k",7.1,150,NA,19,8.31253202253619,18.9333333333333,24.7,25.0005576078015,26.1,27.4,26.55,25.625,8.31253202253619,NA,NA,NA,NA,0.0342073795042577,0.965792620495742,0,25.625,20.25,26.5629061391959,96.7131278079105,90.4302811129599,0.450080210221356,10.3245412234958,43.8747285714941,35.7809311077486,0,88.5387057383883,0.177205875,1.047743235,3.854527215,3.125911635,0,96.7131278079105,NA,NA,36.5717183895479,7.41384313767134,4.97746929752585,0.924844438032208,74,"Pt 97 Bf  3                        ",1.68216972,"PO1",7.1
"VSN060177",177,"B104TtD k",7.1,725,NA,9.25,33.5443868884253,26.53,29.75,25.999677420937,27.1642857142857,30.3,30.3,28.45,30.9879426525438,2.3006344065309,0.255809829350537,13.6375,5.1,0.00762600998496135,0.992373990015039,0,26.53,9.25,24.2714363173642,401.041320083634,358.532203651488,1.22404466379054,57.4105651171311,264.011516014503,35.8860778560634,0,349.898958180974,2.53750959,5.736384885,22.46699532,2.702581035,0,386.599163326246,13.7645733414093,0.677583415979376,155.639666980515,30.2267067046231,17.4363182658856,3.76175499203604,74,"Pt 92 Bw  7 Sb  1                  ",4.47689781,"PO1",7.1
"VSN060178",178,"B055TtD k",7.1,1250,NA,6.66666666666667,46.2361935533785,24.5875,27.3,23.2728832715007,24.6142857142857,28.2,28.05,24.425,37.0305412863962,7.86710890618923,1.33854336079304,15.9666666666667,10.15,0.0972935292694382,0.902706470730562,0,24.6347826086957,6.95652173913043,21.701541395473,490.556117300389,425.415936119907,11.849859112543,108.827268191482,270.360550708388,34.378258107494,0,406.546824218949,5.262160365,11.94722991,25.28057301,2.92553646,0,424.304181116679,59.4765618467688,6.77537433694147,193.243163628801,37.0923648435548,24.2383083487824,5.82252675744899,74,"Pt 79 Bw 11 Sb  6 Pj  3 Bf  1      ",5.584724145,"PO1",7.1
"VSN060179",179,"B104TtD k",7.1,500,NA,17.4,45.4428653426864,30.68,30.68,28.4513855329769,30.1666666666667,36.3,36,31.45,35.1196266476864,9.845008635,0.47823006,17.3857142857143,8.66666666666667,0.143129865292414,0.856870134707586,0,30.68,17.4,34.0175007546592,573.551772618105,546.263900985819,0,11.0790149119005,140.376679655964,394.808206417955,0,537.327001715864,0.3396855,1.6748655,14.58476019,28.664252925,0,502.281425020987,69.2599629950586,2.01038460205899,221.267720363439,42.2311762132532,32.5386721510953,6.59881215252313,74,"Pt 77 Sb  9 Bw  8 Bf  6            ",13.9907229,"PO1",7.1
"VSN060182",182,"B050TtD n",7.1,1125,1.69717086,12.3333333333333,36.6143377489881,24.9347826086957,24.9347826086957,22.4430401291144,24.9238095238095,26.7,26.65,25.975,27.0782727834491,6.00728540055226,3.52877956498674,15.57,10.8909090909091,0.762038392794366,0.237961607205634,0,24.7066666666667,10.6,20.3565362064417,381.039738259482,345.133638288351,12.4778679172985,213.942196894471,118.713573476581,0,0,332.957060262133,2.924456535,22.72892622,10.56052767,0,0,315.03745877828,43.8795096066078,22.1227698745945,161.208062419177,17.7626747783703,12.6584542181482,7.94728168048673,3,"Pj 50 Pt 24 Sb 24 Bf  2 Sw  0      ",4.640476995,"PJ2",7.1
"VSN060183",183,"B049TtD n",7.1,2475,19.19490111,0.326530612244898,19.2045064499006,9.66938775510204,9.66938775510204,9.78198196232715,10.0088888888889,12.3,11.9,10.4,19.1055264149006,0.098980035,NA,7.6,NA,1,0,0,9.66938775510204,0.326530612244898,9.93959125025952,87.9435049606829,31.9392160394333,31.9392160394333,0,0,0,0,23.2262134643174,13.97085228,0,0,0,0,87.5968164425691,0.34668851811378,NA,40.3682672691379,5.28426475050738,5.72941628698972,4.85655636343847,3,"Pj100                              ",NA,"PJ1",7.1
